,0 - 500m3,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500
0 - 500m3,356179.00,16956.00,4781.00,1704.00,775.00,354.00,224.00,159.00,121.00,77.00,67.00,44.00,45.00,35.00,32.00,19.00,21.00,24.00,14.00,17.00,11.00,10.00,10.00,11.00,10.00,4.00,8.00,7.00,3.00,7.00,2.00,3.00,2.00,5.00,2.00,0.00,2.00,0.00,2.00,2.00,9.00
1000,4186.00,3835.00,2751.00,1171.00,369.00,140.00,68.00,28.00,22.00,27.00,7.00,5.00,3.00,6.00,10.00,1.00,2.00,1.00,1.00,3.00,4.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
1500,1458.00,2179.00,3528.00,2492.00,1043.00,405.00,160.00,74.00,47.00,21.00,15.00,17.00,5.00,6.00,1.00,3.00,5.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00
2000,563.00,923.00,2015.00,2872.00,1783.00,747.00,349.00,154.00,74.00,41.00,25.00,17.00,16.00,7.00,8.00,4.00,3.00,0.00,4.00,4.00,1.00,0.00,2.00,3.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
2500,222.00,415.00,900.00,1822.00,2040.00,1206.00,678.00,303.00,150.00,80.00,44.00,28.00,23.00,8.00,10.00,2.00,4.00,5.00,7.00,2.00,1.00,4.00,2.00,2.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00
3000,100.00,206.00,448.00,954.00,1352.00,1368.00,933.00,471.00,268.00,130.00,70.00,44.00,36.00,15.00,12.00,7.00,7.00,13.00,1.00,4.00,3.00,0.00,2.00,3.00,1.00,0.00,1.00,0.00,5.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
3500,58.00,108.00,223.00,456.00,757.00,997.00,1001.00,680.00,397.00,235.00,112.00,84.00,45.00,35.00,17.00,15.00,5.00,5.00,7.00,1.00,5.00,3.00,2.00,0.00,0.00,3.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4000,46.00,39.00,101.00,249.00,442.00,653.00,730.00,696.00,519.00,329.00,172.00,108.00,82.00,43.00,22.00,24.00,14.00,7.00,9.00,9.00,2.00,2.00,5.00,5.00,2.00,2.00,0.00,1.00,1.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4500,18.00,26.00,59.00,122.00,241.00,347.00,482.00,585.00,582.00,412.00,277.00,166.00,98.00,66.00,35.00,29.00,23.00,14.00,10.00,9.00,6.00,4.00,8.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00
